Instruction,Input,Output,Code Style,Score
Create a Python script that simulates an 8-sided dice roll.,,"import random

def roll_dice():
    dice = random.randint(1, 8)
    return dice

dice = roll_dice()
print(f""You rolled a {dice}"")
",8.33,4.16
Construct a function in Python that sorts a list of tuples by the second element of the tuple in ascending order.,"tuples = [(6, 2), (5, 4), (7, 3), (2, 8), (1, 5)]","def sort_tuples(tuples):
    return sorted(tuples, key=lambda x: x[1])

tuples = [(1, 3), (2, 1), (3, 2)]
print(sort_tuples(tuples))
",7.5,3.75
"Given a string, write a python program to print the next largest palindrome.",1234,"def next_largest_palindrome(num):
    num = int(num)
    num += 1
    while not is_palindrome(str(num)):
        num += 1

    return num

def is_palindrome(num):
    return num == num[::-1]

print(next_largest_palindrome(""1234""))
",10,5
Write a method in Python to display the contents of a dictionary.,,"def display_dict(dictionary):
    for key, value in dictionary.items():
        print(f'{key}: {value}')
",9.89,4.94
Write a correct Python program to find the sum of all the digits of an integer.,,"def sum_of_digits(n):
    s = 0
    while n:
        s += n % 10
        n //= 10
    return s
",10,5
Create a Python function that checks if a given string consists of all unique characters.,,"def isUnique(s):
    chars = []
    for char in s:
        if char in chars:
            return False
        chars.append(char)
    return True
",9.5,4.75
Write a function to find the item with maximum occurrences in a given list.,,"def max_occurrences(list1):
    max_val = 0
    result = list1[0] 
    for i in list1:
        occu = list1.count(i)
        if occu > max_val:
            max_val = occu
            result = i 
    return result",8.33,4.16
Write a Python program to display the powers of 2 up to the given power.,8,"power = 8

for i in range(power+1):
    print(2**i, end=' ')

print("""")
",10,4
Write a Python program to find the number of occurrences of a given element in an array.,"list = [1, 2, 5, 4, 1, 5]","def countOccurrences(list, element):
    count = 0
    for i in range(len(list)):
        if list[i] == element:
            count += 1
    return count

if __name__ == '__main__':
    list = [1, 2, 5, 4, 1, 5]
    element = 5
    print(countOccurrences(list, element))
",6.67,3.33
Write a Python program to validate the given password according to the given criteria.,"The given criteria are: minimum 8 characters, should contain one uppercase letter, should contain one numeric digit","def validate_password(password):
    if len(password) < 8:
        return False
    if not any(c.isupper() for c in password):
        return False
    if not any(c.isdigit() for c in password):
        return False
    return True",10,5
Write a python function to find the minimum difference between any two elements in a given array.,,"def find_Min_Diff(arr,n): 
    arr = sorted(arr) 
    diff = 10**20 
    for i in range(n-1): 
        if arr[i+1] - arr[i] < diff: 
            diff = arr[i+1] - arr[i]  
    return diff ",8.87,4.43
Write a function to calculate the nth pell number.,,"def get_pell(n):
    if n <= 2:
        return n
    a = 1
    b = 2
    for i in range(3, n+1):
        c = 2 * b + a
        a = b
        b = c
    return b
",9,4.5
Write a python function to find nth number in a sequence which is not a multiple of a given number.,,"def count_no (A,N,L,R): 
    count = 0
    for i in range (L,R + 1): 
        if i % A != 0: 
            count += 1
        if count == N: 
            break
    return i 
",10,5
Create a Python program to delete all characters at odd index in a given string.,"Hello, World!","def deleteAtOddIndex(s):
    output = """"
    for i in range(len(s)):
        if i % 2 == 0:
            output += s[i]
    return output

input_string = ""Hello, World!""
result = deleteAtOddIndex(input_string)
print(result)
",8.89,4.44
Write a python function to count equal element pairs from the given array.,,"def count_Pairs(arr,n): 
    cnt = 0
    for i in range(n): 
        for j in range(i + 1,n): 
            if arr[i] == arr[j]: 
                cnt += 1 
    return cnt 
",8.89,4.44
Write a function to check whether the given month number contains 28 days or not.,,"def check_monthnum_number(monthnum1):
    if monthnum1 == 2:
        return True
    elif monthnum1 >= 1 and monthnum1 <= 12:
        return False
    else:
        return None
",8.33,4.16
Write a function to find the maximum of nth column from the given tuple list.,,"def max_of_nth(test_list, N):
  res = max([sub[N] for sub in test_list])
  return (res) ",6.67,3.33
Write a Python program that takes two sets of strings and creates a list of strings that are present in both.,,"def find_common(set_a, set_b):
    return [item for item in set_a if item in set_b]
",10,5
Write a Python program that finds the average of three numbers.,"21, 15, 10","def avg(a, b, c): 
    return (a + b + c) / 3 
  
a = 21
b = 15
c = 10
  
average = avg(a, b, c) 
  
print(""Average of three numbers is:"", average)
",6.71,3.35
Write a function that matches a string that has an a followed by one or more b's.,,"import re

def text_match_one(text):
    patterns = 'ab+?'
    if re.search(patterns, text):
        return 'Found a match!'
    else:
        return 'Not matched!'
",8.33,4.16
Develop a Python program to find the sum of first n even numbers.,7,"def find_sum(n):
    sum = 0
    for i in range(1, n+1):
        if i % 2 == 0:
            sum += i
    return sum

n = 7
print(""The sum of the first"", n, ""even numbers is:"", find_sum(n))
",8.75,4.37
Write a function to zip two given lists of lists.,,"def zip_list(list1, list2):
    result = list(map(list.__add__, list1, list2))
    return result
",10,5
Create a Python function to format a string with the proper case and punctuation,"string=""hello, world""","def format_string(string):
    formatted_string = string.capitalize()
    
    if not formatted_string.endswith(('.', '!', '?')):
        formatted_string += '.'
    
    return formatted_string

string = ""hello, world""
formatted = format_string(string)
print(formatted)
",8.89,4.44
Write a Python program that takes a list of strings as input and prints out all the strings in sorted order.,,"def sort_list_of_strings(list_of_strings):
    list_of_strings.sort()
    for string in list_of_strings:
        print(string)",10,5
Write a function to perform index wise multiplication of tuple elements in the given two tuples.,,"def index_multiplication(test_tup1, test_tup2):
    res = tuple(tuple(a * b for a, b in zip(tup1, tup2))
                for tup1, tup2 in zip(test_tup1, test_tup2))
    return res
",10,5
Create a function in Python to print all numbers from N to 1 in reverse order.,,"def reverse_print(n):
    for i in range(n, 0, -1):
        print(i)

n = 5
reverse_print(n)
",8.67,4.33
Write a Python program that will calculate the correlation between two different datasets.,"Dataset 1:[1,2,3,4,5]
Dataset 2:[2,4,6,8,10]","import numpy as np

data1 = [1,2,3,4,5]
data2 = [2,4,6,8,10]

correlation = np.corrcoef(data1, data2)[0][1]
print(correlation)
",10,5
Generate an optimized python program for splitting an array into two subarrays with equal sum.,"[1, 2, 3, 4, 5, 6]","def split_array_sum(arr):
    sum_arr = sum(arr)
    half_sum = sum_arr / 2
    current_sum = 0
    left_index = 0

    for index, value in enumerate(arr):
        current_sum += value
        if current_sum >= half_sum:
            left_index = index
            break

    left_arr = arr[:left_index + 1]
    right_arr = arr[left_index + 1:]
    return left_arr, right_arr

arr = [1, 2, 3, 4, 5, 6]
left_arr, right_arr = split_array_sum(arr)
print(""Left array:"", left_arr)
print(""Right array:"", right_arr)
",8.24,4.12
Develop a Python function that takes two strings as input and returns the longer string.,"cat', 'dog'","def longer_string(string1, string2):
    if len(string1) > len(string2):
        return string1
    
    return string2

string1 = 'cat'
string2 = 'dog'
result = longer_string(string1, string2)
print(f""The longer string is: {result}"")
",7.5,3.75
Write a Python function to calculate the sum of two numbers using recursion.,"x = 5
y = 7","x = 5
y = 7

def recursive_sum(x, y):
    if x == 0:
        return y 
    else: 
        return recursive_sum(x - 1, y + 1) 

print(recursive_sum(x, y))
",7.33,3.16
Create a Python dictionary from two given lists. The first list contains keys and the second list contains values.,"keys = [1, 2, 3, 4, 5]
values = [4, 5, 6, 7, 8]","keys = [1, 2, 3, 4, 5]
values = [4, 5, 6, 7, 8]

dict_from_lists = dict(zip(keys, values))

print(dict_from_lists)
",10,5
Write a Python program to find the shortest path between two points,"A (1,2), B (5,6)","A = (1,2) 
B = (5,6)

def short_path(p1, p2):
    x_dist = abs(p2[0] - p1[0])
    y_dist = abs(p2[1] - p1[1])
    manh_dist = x_dist + y_dist
    return manh_dist

print(short_path(A, B))
",9.27,4.63
Generate a correct Python program to filter out elements of a list using lambda,"list = [1,2,3,4,5]","my_list = [1, 2, 3, 4, 5]

result = list(filter(lambda x: x % 2 == 0, my_list))
print(result)
",10,5
Write a function to check whether the given key is present in the dictionary or not.,,"def is_key_present(d, x):
    if x in d:
        return True

    return False
",9.09,4.54
Write a Python program to format a specified string to limit the number of characters to 6.,"str = ""Python is a great programming language!""","str = ""Python is a great programming language!""
new_str = ""Python"".ljust(9, '.')

print(new_str)
",8.87,4.43
Write a Python function that takes a list of numbers and returns the sum of all odd numbers in the list.,"[1, 2, 3, 4, 5]","def sum_odd_numbers(nums):
    result = 0
    for num in nums:
        if num % 2 != 0:
            result += num
    return result

result = sum_odd_numbers([1, 2, 3, 4, 5])
print(result)
",9.75,4.87
Read a given list of strings and create a new list of all strings that are longer than 5 characters long.,"['Python', 'is', 'Fun']","def filter_long_strings(string_list):
    long_strings = []
    for string in string_list:
        if len(string) > 5:
            long_strings.append(string)
    return long_strings

string_list = ['Python', 'is', 'Fun']

long_strings = filter_long_strings(string_list)
print(long_strings)
",7.78,3.89
Write a function to find the n'th lucas number.,,"def find_lucas(n):
    if n == 0:
        return 2
    if n == 1:
        return 1
    return find_lucas(n - 1) + find_lucas(n - 2)
",10,5
Write a Python program to slice a list and store the first two elements in separate variables.,"[2, 4, 6, 8, 10]","list = [2, 4, 6, 8, 10] 
first, second = list[0], list[1]  
print(first) 
print(second)",8.5,4.25
Describe a method to find the greatest common divisor (GCD) of two numbers in Python.,,"def gcd(a, b): 
    if a == 0 : 
        return b  
    if b == 0 : 
        return a  
  
    if a == b: 
        return a 
  
    if a > b: 
        return gcd(a-b, b) 
    return gcd(a, b-a) 
   
a = 36 
b = 30
  
if gcd(a, b): 
    print('GCD of', a, 'and', b, 'is', gcd(a, b))
",8.57,4.28
"Solve mathematical expression "" cos(x) + sin(x) = 0 "" using Python.",,"import numpy as np

x = np.arange(-2*np.pi, 2*np.pi, 0.5)

y = np.cos(x) + np.sin(x)

solution = x[np.where(y == 0)]
print(solution)",10,5
Write a Python program to check if an array has more than three duplicate elements.,"arr = [4, 2, 8, 2, 1, 4, 19, 4]","def check_duplicate_in_array(arr):
    result = False
    for i in range(len(arr) - 2):
        if arr[i] == arr[i + 1] == arr[i + 2]:
            result = True
            break
    return result

arr = [4, 2, 8, 2, 1, 4, 19, 4]
print(check_duplicate_in_array(arr))
",8.89,4.44
Write a function in Python that takes a list of numbers and returns the sum of the list items that are greater than the given value.,"nums = [1, 4, 5, 10, 12]
value = 6","def findSum(nums, value):
    total = 0

    for num in nums:
        if num > value:
            total += num

    return total

nums = [1, 4, 5, 10, 12]
value = 6

res = findSum(nums, value)

print(res)
",8,4
Develop a Python program to extract the last 3 elements of a given list and append them to the beginning of the list.,,"def move_last_3(list):
    last3 = list[-3:]
    del list[-3:]
    list = last3 + list
    return list
",9,4.5
Write a function in Python that converts a given date-time string into a specified timestamp format.,"String date-time: ""2020-05-02 15:30:00""
Timestamp format: %Y/%m/%d %H:%M:%S","import datetime

def convert_datetime_to_timestamp(date_time, timestamp_format):
    dt = datetime.datetime.strptime(date_time, ""%Y-%m-%d %H:%M:%S"")
    return dt.strftime(timestamp_format)

date_time = ""2020-05-02 15:30:00""
timestamp_format = ""%Y/%m/%d %H:%M:%S""
result = convert_datetime_to_timestamp(date_time, timestamp_format)
print(result)
",8.33,4.16
"Write a function that matches a word containing 'z', not at the start or end of the word.",,"import re

def text_match_wordz_middle(text):
    patterns = r'\Bz\B'
    if re.search(patterns, text):
        return 'Found a match!'
    else:
        return 'Not matched!'

print(text_match_wordz_middle(""The quick brown fox jumps over the lazy dog.""))",9.17,4.58
Write a function to caluclate perimeter of a parallelogram.,,"def parallelogram_perimeter(b, h):
    perimeter = 2 * (b + h)
    return perimeter

b = int(input(""Enter the base of the parallelogram: ""))
h = int(input(""Enter the height of the parallelogram: ""))
print(""The perimeter of the parallelogram is:"", parallelogram_perimeter(b, h))
",9.77,4.88
Write a Python program to join all elements in a list into a string separated by a given separator.,"[""Hello"", ""World!""], separator = "" ""","def join_list_with_separator(lst, separator):
    joined_string = separator.join(lst)
    return joined_string

lst = [""Hello"", ""World!""]
separator = "" ""
result = join_list_with_separator(lst, separator)
print(result)
",8.14,4.07
Create a Python script to identify the frequency of words in a sentence.,"Sentence = ""This is a test sentence""","from collections import Counter

sentence = ""This is a test sentence""

words = sentence.split()

word_frequency = Counter(words)

print(word_frequency)
",10,5
Develop a python program to quantify the number of appearances of each character in a given string.,,"def char_count(str1):
    dict = {} 
    for n in str1: 
        keys = dict.keys() 
        if n in keys: 
            dict[n] += 1
        else: 
            dict[n] = 1 
    return dict
print(char_count(""google.com""))
",8.89,4.44
Write a Python program for checking if a number is within a given range.,,"def is_in_range(n, lower, upper):
    return True if lower <= n & n <= upper else False

is_in_range(3, 1, 10)
",8.12,4.06
Write a Python script to flatten a nested dictionary.,,"def flatten_dictionary(d):
    result = {}

    def traverse(k, v):
        if isinstance(v, dict):
            for k1, v1 in v.items():
                traverse(k+"".""+k1, v1)
        else:
            result[k] = v

    traverse("""", d)

    return result
",10,5
Write a python program to calculate the median of four numbers,"3, 5, 10, 2","def calculate_median(nums):
    nums.sort()
    if len(nums) % 2 == 0:
        mid1 = len(nums) // 2
        mid2 = mid1 - 1
        return (nums[mid1] + nums[mid2]) / 2
    
    return nums[len(nums) // 2]

nums = [3, 5, 10, 2]
print(calculate_median(nums))
",8.89,4.44
Write a Python program to create a list of all the even numbers between two given numbers.,"5, 10","def even_number_list(a, b):
    return [i for i in range(a, b+1) if i % 2 == 0]

a = 5
b = 10
result = even_number_list(a, b)
print(result)
",9.5,4.75
Write a python function to find the maximum occurring character in a given string.,,"def get_max_occuring_char(str1):
    ASCII_SIZE = 256
    ctr = [0] * ASCII_SIZE
    max = -1
    ch = ''
    for i in str1:
        ctr[ord(i)] += 1
    for i in str1:
        if max < ctr[ord(i)]:
            max = ctr[ord(i)]
            ch = i
    return ch

print(get_max_occuring_char(""google.com""))
",9.23,4.61
Design an algorithm in Python that takes a string as input and returns a compressed version of the string.,aaabbccccca,"def stringCompress(s):
    result = """"
    counter = 1
    for i in range(len(s)-1):
        if s[i] == s[i+1]:
            counter+=1
        else:
            result += s[i] + str(counter)
            counter = 1
        
    result += s[i] + str(counter)
    return result

print(stringCompress('aaabbccccca'))
",10,5
Write a Python code that replaces every occurrence of an alphabet in a sentence with the next alphabet in the alphabetical order.,"Hello, World!","def alphabet_order(sentence):
    output = """"
    for character in sentence:
        if character.isalpha():
            ascii_value = ord(character)
            ascii_value += 1
            output += chr(ascii_value)
        else:
            output += character
    return output

print(alphabet_order(""Hello, World!""))
",10,5
Create a program that will generate random sequence of words.,,"import random

def generate_random_words(n):
    words = [""hello"", ""world"", ""foobar"", ""python"", ""code""]
    output = """"

    for _ in range(n):
        output += random.choice(words)
        output += "" ""

    return output[:-1]
",9.89,4.44
Write a function to find the nth octagonal number.,,"def is_octagonal(n): 
    return 3 * n * n - 2 * n
print(is_octagonal(2)) 
",10,5
Design a function to calculate the volume of a cube in Python.,,"def cube_volume(side_length):
    volume = side_length ** 3
    return volume

print(cube_volume(2))
",10,5
Write a python function to find minimum adjacent swaps required to sort binary array.,,"def find_Min_Swaps(arr,n) : 
    noOfZeroes = [0] * n 
    count = 0 
    noOfZeroes[n - 1] = 1 - arr[n - 1] 
    for i in range(n-2,-1,-1) : 
        noOfZeroes[i] = noOfZeroes[i + 1] 
        if arr[i] == 0 : 
            noOfZeroes[i] = noOfZeroes[i] + 1
    for i in range(0,n) : 
        if arr[i] == 1 : 
            count = count + noOfZeroes[i] 
    return count
arr = [0, 0, 1, 0, 1, 1, 0, 0, 1]
print(find_Min_Swaps(arr,len(arr)))
",9.29,4.64
Generate a Python program to reverse the digits of a given number.,9786,"def reverse_number(num):
    rev = 0
    while num > 0:
        reminder = num%10
        rev = (rev*10)+reminder
        num = num//10
    return rev
print(reverse_number(12345))
",10,5
Develop a function in Python to sort a given array of strings.,,"def sort_strings(strings):
    return sorted(strings)
print(sort_strings(['H', 'E', 'M', 'I', 'T']))
",10,5
Write a Python function to convert all strings in a list to lower case.,"list = ['Hello', 'FRIENDS', 'WorLd']","list = ['Hello', 'FRIENDS', 'WorLd']

def to_lower(arr): 
    return [item.lower() for item in arr] 

result = to_lower(list) 
print(result) 
",9,4.5
"Given a list, convert it to a dictionary using Python.","list_1 = [1, 2, 3, 4]","list_1 = [1, 2, 3, 4, 5]
list_1_dict = dict() 
for i in range(len(list_1)): 
    list_1_dict[i] = list_1[i] 
print(list_1_dict)
",8,4
Write a function to find the nth decagonal number.,,"def is_num_decagonal(n): 
    return 4 * n * n - 3 * n 
print(is_num_decagonal(1))
",10,5
Write a Python script to delete all duplicate characters in a given string,"string = ""mississippi""","string = ""mississippi""

def deleteDuplicates(string):
    result = """"
    for i in string:
        if i not in result:
            result += i
    return result

print(""The output string is:"", deleteDuplicates(string))
",8.75,4.37
Generate a Python function that takes in a list of words and returns the length of the longest word.,"['Ram', 'Shyam', 'Mohan']","def longest_word_length(words):
    length = 0
    for word in words:
        if len(word) > length:
            length = len(word)
            
    return length

words = ['Ram', 'Shyam', 'Mohan']
print(longest_word_length(words))
",7.5,3.75
Write a Python program to simulate rolling two dice and determine the odd/even result.,,"import random

def roll_dice():
    roll1 = random.randint(1, 6)
    roll2 = random.randint(1, 6)
    roll_sum = roll1 + roll2
    print(f""You rolled {roll1} and {roll2}. The total is {roll_sum}, which is {'even' if roll_sum % 2 == 0 else 'odd'}."")
    
roll_dice()
",9.75,4.87
Write a python function to count the total unset bits from 1 to n.,,"cdef count_Unset_Bits(n) :  
    cnt = 0  
    for i in range(1,n + 1) : 
        temp = i  
        while temp :  
            if temp % 2 == 0 : 
                cnt += 1  
            temp = temp // 2  
    return cnt  
",10,5
Write a Python code to display the area and volume of a cube with a given edge length.,3,"def cube_info(edge_length):
    area = 6 * edge_length**2
    volume = edge_length**3
    return area,volume

edge_length = 3
area, volume = cube_info(edge_length)
print(""Area of the Cube:"", area)
print(""Volume of the Cube:"", volume)",9.23,4.61
Write a Python program which takes the length and width of a rectangle as input and returns its perimeter.,"length = 10, width = 5","def get_perimeter(length, width):
    return 2 * (length + width)

perimeter = get_perimeter(10, 5)
print(perimeter)
",10,5
Generate a valid python program to convert a given string to its title case.,hello world,"def to_title_case(string):
    words = string.split()

    result = []
    for word in words:
        result.append(word.title())

    return ' '.join(result)

title = to_title_case(""hello world"")
print(title)
",10,5
Write a python function to find the first repeated character in a given string.,,"def first_Repeated_Char(str): 
    h = {}
    for ch in str:
        if ch in h: 
            return ch
        else: 
            h[ch] = 0
    return '\0'
",8.14,4.07
"Create a Python program to remove all the elements in a given array, which are divisible by a certain number.","[23, 45, 12, 35, 29], 3","arr = [23, 45, 12, 35, 29] 
 
num = 3
 
new_arr = [x for x in arr if x % num != 0] 
 
print(new_arr)
",10,5
Write a function to move all the numbers in it to the given string.,,"def move_num(test_str):
    res = ''
    dig = ''
    for ele in test_str:
        if ele.isdigit():
            dig += ele
        else:
            res += ele
    res += dig
    return res
",10,5
Write a python function to count numeric values in a given string.,,"def number_ctr(str):
    number_ctr = 0
    for i in range(len(str)):
        if str[i] >= '0' and str[i] <= '9':
            number_ctr += 1
    return number_ctr

print(number_ctr(""Python 3.2""))
",7.39,3.69
Write a function to divide two lists using map and lambda function.,,"def div_list(nums1, nums2):
    result = map(lambda x, y: x / y, nums1, nums2)
    return list(result)
",10,5
Write a function to find the demlo number for the given number.,,"def find_demlo(s): 
    l = len(s) 
    res = """" 
    for i in range(1, l+1): 
        res = res + str(i) 
    for i in range(l-1, 0, -1): 
        res = res + str(i) 
    return res 
",10,5
Write a Python program to detect the largest word in a sentence. The program should take a string as input and return the largest word found in it.,This sentence has seven words.,"def find_largest_word(sentence):
    splits = sentence.split(' ')
    largest_word = """"
    for word in splits:
        if len(word) > len(largest_word):
            largest_word = word
    return largest_word

print(find_largest_word(""This sentence has seven words.""))
",10,5
Write a function to sum elements in two lists.,,"def sum_list(lst1, lst2):
    res_list = [lst1[i] + lst2[i] for i in range(len(lst1))] 
    return res_list

print(sum_list([1, 0, 1], [2, 3, 4]))
",9.89,4.44
Create a Python script to sort a list of tuples by the second element in the tuple in ascending order.,"myList = [('Tom',7),('Harry',5),('Bob',8)]","def sortList(myList):
    myList.sort(key=lambda x: x[1])

    print(""The sorted list in ascending order is:"")
    for i in range(len(myList)):
        print(myList[i])

myList = [('Tom', 7), ('Harry', 5), ('Bob', 8)]
sortList(myList)
",7.48,3.74
Write a function to check if the two given strings are permutations of each other.,,"def check_permutation(str1, str2):
    n1 = len(str1)
    n2 = len(str2)
    if n1 != n2:
        return False
    a = sorted(str1)
    str1 = "" "".join(a)
    b = sorted(str2)
    str2 = "" "".join(b)
    for i in range(0, n1, 1):
        if str1[i] != str2[i]:
            return False
    return True

print(check_permutation(""abc"", ""cab""))
",10,5
Generate a program in Python to output the top 3 numbers from an array of integers,"[7, 13, 5, 8, 50, 11, 64, 48]","def top_three(numbers):
    sorted_numbers = sorted(numbers, reverse=True)
    return sorted_numbers[:3]

print(top_three([7, 13, 5, 8, 50, 11, 64, 48]))
",10,5
Generate a python code to rotate an array by k steps.,"[1,2,3,4,5]","def leftRotate(arr, k):
    n = len(arr)
    k = k % n
    new_arr = arr[k:] + arr[:k]
    return new_arr

arr = [1, 2, 3, 4, 5]
k = 2
rotated_arr = leftRotate(arr, k)
print(rotated_arr)
",7.78,3.89
Create a short Python program that prints out the current date and time in the specified format.,"Format - ""YYYY-MM-DD HH:MM:SS""","import time

time_now = time.strftime(""%Y-%m-%d %H:%M:%S"")
print(time_now)
",10,5
